"광역시도","시군구","선거인수","투표수","이재명","윤석열","심상정","투표율","electionSum","electionRatio"
"경상북도","의성군",47369,39245,6431,31176,545,0.828495429500306,38152,97.21
"경상북도","청송군",22793,18789,3716,14268,298,0.824332031764138,18282,97.3
"경상북도","영양군",14932,12337,2855,8968,208,0.826212161800161,12031,97.52
"경상북도","영덕군",32227,25897,4342,20611,310,0.803580848356968,25263,97.55
"경상북도","봉화군",28052,22707,5252,16451,361,0.809461000998146,22064,97.17
"경상북도","울진군",42282,33544,6888,25287,476,0.793339955536635,32651,97.34
"경상남도","창원시의창구",185646,143063,52289,82914,3805,0.770622582765047,139008,97.17
"경상남도","창원시성산구",213187,170073,67177,93082,5428,0.797764404020883,165687,97.42
"경상남도","창원시마산합포구",156984,120928,37657,77518,2618,0.770320542220863,117793,97.41
"경상남도","창원시마산회원구",160587,125233,41527,77282,2911,0.779845192948371,121720,97.19
"경상남도","창원시진해구",159611,119212,45890,66298,3075,0.746890878448227,115263,96.69
"경상남도","진주시",292842,228238,74975,141433,5578,0.779389568436222,221986,97.26
"경상남도","통영시",106361,80080,26387,49772,1573,0.752907550699975,77732,97.07
"경상남도","고성군",45053,34327,10348,22213,645,0.761924844072537,33206,96.73
"경상남도","사천시",94303,71772,23424,44656,1581,0.761078650732214,69661,97.06
"경상남도","김해시",444342,328521,150338,160401,8587,0.739342668485086,319326,97.2
"경상남도","밀양시",92517,70249,21906,44881,1457,0.759309099949198,68244,97.15
"경상남도","거제시",194074,145481,64355,71772,4186,0.749616125807682,140313,96.45
"경상남도","의령군",24419,19089,5396,12625,349,0.781727343462058,18370,96.23
"경상남도","함안군",54570,41791,13504,26066,921,0.765823712662635,40491,96.89
"경상남도","창녕군",54037,41401,10934,28492,716,0.76616022355053,40142,96.96
"경상남도","양산시",294133,220501,92137,116904,5364,0.749664267525235,214405,97.24
"경상남도","하동군",39640,32089,11218,18974,723,0.809510595358224,30915,96.34
"경상남도","남해군",38680,30297,10143,18503,676,0.783273009307136,29322,96.78
"경상남도","함양군",34459,26955,8526,16957,528,0.782233959197887,26011,96.5
"경상남도","산청군",31645,24913,7125,16607,464,0.787264970769474,24196,97.12
"경상남도","거창군",53049,41399,11963,27254,895,0.780391713321646,40112,96.89
"경상남도","합천군",39768,31270,6911,22742,511,0.786310601488634,30164,96.46
"제주특별자치도","제주시",408552,296826,157695,122084,10007,0.726531751160195,289786,97.63
"제주특별자치도","서귀포시",155802,112823,55435,50930,3591,0.724143464140383,109956,97.46
